name,seq,date,time,cov,corpus,fuzzing
local,0,2024-04-17 15:46:45.95,0,5854,5,2297
local,0,2024-04-17 15:46:48.96,3010,5867,7,4756
local,0,2024-04-17 15:46:51.97,6020,5867,7,8246
local,0,2024-04-17 15:46:54.98,9030,5867,7,10858
local,0,2024-04-17 15:46:57.99,12040,5867,7,13526
local,0,2024-04-17 15:47:01.03,15080,5867,7,17211
local,0,2024-04-17 15:47:04.05,18100,5867,7,20081
local,0,2024-04-17 15:47:07.07,21120,5867,7,23303
local,0,2024-04-17 15:47:10.09,24140,5867,7,26292
local,0,2024-04-17 15:47:13.11,27160,5867,7,32348
local,0,2024-04-17 15:47:16.13,30180,5867,7,40553
local,0,2024-04-17 15:47:19.14,33190,5867,7,44669
local,0,2024-04-17 15:47:22.15,36200,5867,7,50674
local,0,2024-04-17 15:47:25.15,39200,5867,7,54106
local,0,2024-04-17 15:47:28.17,42220,5867,7,60664
local,0,2024-04-17 15:47:31.18,45230,5867,7,64982
local,0,2024-04-17 15:47:34.20,48250,5867,7,70992
local,0,2024-04-17 15:47:37.22,51270,5867,7,74765
local,0,2024-04-17 15:47:40.23,54280,5867,7,81445
local,0,2024-04-17 15:47:43.24,57290,5867,7,86097
local,0,2024-04-17 15:47:46.26,60310,5867,7,91475
local,0,2024-04-17 15:47:49.27,63320,5867,7,95246
local,0,2024-04-17 15:47:52.28,66330,5867,7,101555
local,0,2024-04-17 15:47:55.29,69340,5867,7,105620
local,0,2024-04-17 15:47:58.29,72340,5867,7,112453
local,0,2024-04-17 15:48:01.30,75350,5867,7,115951
local,0,2024-04-17 15:48:04.31,78360,5867,7,121512
local,0,2024-04-17 15:48:07.33,81380,5867,7,130075
local,0,2024-04-17 15:48:10.34,84390,5867,7,137804
local,0,2024-04-17 15:48:13.35,87400,5867,7,145837
local,0,2024-04-17 15:48:16.36,90410,5867,7,154010
local,0,2024-04-17 15:48:19.39,93440,5867,7,162386
local,0,2024-04-17 15:48:22.41,96460,5867,7,169718
local,0,2024-04-17 15:48:25.41,99460,5867,7,173728
local,0,2024-04-17 15:48:28.42,102470,5867,7,179319
local,0,2024-04-17 15:48:31.43,105480,5867,7,183158
local,0,2024-04-17 15:48:34.43,108480,5867,7,188109
local,0,2024-04-17 15:48:37.44,111490,5867,7,192444
local,0,2024-04-17 15:48:40.46,114510,5867,7,196110
local,0,2024-04-17 15:48:43.46,117510,5867,7,201654
local,0,2024-04-17 15:48:46.46,120510,5867,7,205899
local,0,2024-04-17 15:48:49.49,123540,5867,7,210587
local,0,2024-04-17 15:48:52.51,126560,5902,8,213132
local,0,2024-04-17 15:48:55.52,129570,5902,8,217443
local,0,2024-04-17 15:48:58.53,132580,5902,8,221726
local,0,2024-04-17 15:49:01.55,135600,5902,8,224846
local,0,2024-04-17 15:49:04.58,138630,5902,8,226826
local,0,2024-04-17 15:49:07.61,141660,5902,8,231403
local,0,2024-04-17 15:49:10.64,144690,5902,8,235102
local,0,2024-04-17 15:49:13.67,147720,5902,8,239158
local,0,2024-04-17 15:49:16.68,150730,5902,8,241976
local,0,2024-04-17 15:49:19.69,153740,5902,8,245428
local,0,2024-04-17 15:49:22.70,156750,5902,8,248735
local,0,2024-04-17 15:49:25.72,159770,5902,8,253803
local,0,2024-04-17 15:49:28.72,162770,5902,8,260849
local,0,2024-04-17 15:49:31.72,165770,5902,8,268386
local,0,2024-04-17 15:49:34.74,168790,5902,8,272290
local,0,2024-04-17 15:49:37.75,171800,5902,8,276881
local,0,2024-04-17 15:49:40.76,174810,5902,8,280819
local,0,2024-04-17 15:49:43.79,177840,5902,8,284329
local,0,2024-04-17 15:49:46.81,180860,5902,8,288528
local,0,2024-04-17 15:49:49.83,183880,5902,8,292827
local,0,2024-04-17 15:49:52.83,186880,5902,8,296946
local,0,2024-04-17 15:49:55.85,189900,5902,8,299629
local,0,2024-04-17 15:49:58.88,192930,5902,8,304264
local,0,2024-04-17 15:50:01.91,195960,5902,8,308438
local,0,2024-04-17 15:50:04.94,198990,5902,8,310892
local,0,2024-04-17 15:50:07.96,202010,5902,8,317445
local,0,2024-04-17 15:50:10.98,205030,5902,8,323250
local,0,2024-04-17 15:50:14.00,208050,5902,8,327075
local,0,2024-04-17 15:50:17.03,211080,5902,8,330366
local,0,2024-04-17 15:50:20.03,214080,5902,8,334258
local,0,2024-04-17 15:50:23.04,217090,5902,8,338554
local,0,2024-04-17 15:50:26.05,220100,5902,8,342760
local,0,2024-04-17 15:50:29.07,223120,5902,8,345682
local,0,2024-04-17 15:50:32.09,226140,5902,8,350098
local,0,2024-04-17 15:50:35.12,229170,5902,8,354784
local,0,2024-04-17 15:50:38.14,232190,5902,8,357565
local,0,2024-04-17 15:50:41.15,235200,5902,8,362249
local,0,2024-04-17 15:50:44.16,238210,5902,8,366039
local,0,2024-04-17 15:50:47.20,241250,5902,8,369955
local,0,2024-04-17 15:50:50.21,244260,5902,8,373893
local,0,2024-04-17 15:50:53.22,247270,5902,8,377855
local,0,2024-04-17 15:50:56.23,250280,5902,8,382833
local,0,2024-04-17 15:50:59.25,253300,5902,8,390578
local,0,2024-04-17 15:51:02.27,256320,5902,8,394483
local,0,2024-04-17 15:51:05.31,259360,5902,8,398042
local,0,2024-04-17 15:51:08.32,262370,5902,8,402404
local,0,2024-04-17 15:51:11.33,265380,5902,8,406974
